,,,SpineMid,,,Neck,,,Head,,,ShoulderLeft,,,ElbowLeft,,,WristLeft,,,HandLeft,,,ShoulderRight,,,ElbowRight,,,WristRight,,,HandRight,,,SpineShoulder,,
14:18.7,154781,0,0.120782,-0.123125,0.95,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.267652,-0.176662,0.805,,,,0.149222,-0.273003,0.731,,,,,,,,,,,,,0.176588,0.005717,1.109
14:18.8,154813,0,0.133115,-0.117153,0.951,0.456178,-0.160223,1.372,0.076528,0.318399,0.754,,,,0.267652,-0.176662,0.805,,,,,,,,,,,,,,,,,,,0.261044,0.019875,1.105
14:18.8,154848,0,0.133815,-0.123903,0.956,0.45352,-0.124276,1.364,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.130492,0.036386,0.977
14:18.8,154882,0,0.110317,-0.107054,0.826,0.455181,-0.159872,1.369,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.107821,0.037024,0.848
14:18.9,154914,0,0.139072,-0.098741,0.95,0.452855,-0.124094,1.362,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.204255,0.067246,0.97
14:18.9,154947,0,0.132694,-0.135034,0.948,0.454518,-0.124549,1.367,0.076528,0.318399,0.754,,,,0.28939,-0.177322,0.808,,,,,,,,,,,,,,,,,,,0.253492,-0.008474,1.103
14:18.9,154980,0,0.132834,-0.141266,0.949,0.456178,-0.160223,1.372,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.147187,0.03397,1.102
14:19.0,155014,0,0.105017,-0.107054,0.826,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.156612,0.042413,0.847
14:19.0,155046,0,0.105907,-0.107961,0.833,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.167285,0.036934,0.846
14:19.0,155082,0,0.139072,-0.098741,0.95,0.457176,-0.160573,1.375,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.148691,0.061212,0.973
14:19.1,155115,0,0.132835,-0.110816,0.949,-0.106271,0.259931,1.359,0.076629,0.318821,0.755,,,,0.288674,-0.176883,0.806,,,,,,,,,,,,,,,,,,,0.268135,0.012783,1.105
14:19.1,155148,0,0.127279,-0.12963,0.953,0.45352,-0.124276,1.364,0.076528,0.318399,0.754,,,,0.287957,-0.176444,0.804,,,,,,,,,,,,,,,,,,,0.247755,0.005714,1.109
14:19.1,155183,0,0.121418,-0.123773,0.955,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.198846,0.048772,0.974
14:19.2,155215,0,0.139218,-0.117153,0.951,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,0.257344,-0.189727,0.774,,,,,,,,,,,,,,,,,,,0.17611,0.005702,1.106
14:19.2,155247,0,0.128214,-0.118261,0.96,0.455181,-0.159872,1.369,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.199459,0.055192,0.977
14:19.2,155279,0,0.107903,-0.122347,0.944,0.455183,-0.124732,1.369,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.13076,0.049026,0.979
14:19.3,155315,0,0.127012,-0.117152,0.951,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.176269,-0.001397,1.107
14:19.3,155348,0,0.083611,-0.106794,0.824,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,0.267652,-0.176662,0.805,,,,,,,,,,,,,,,,,,,0.218489,-0.001237,0.978
14:19.3,155381,0,0.133534,-0.129766,0.954,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,0.267319,-0.176443,0.804,,,,,,,,,,,,,,,,,,,0.261279,-0.008497,1.106
14:19.4,155415,0,0.138778,-0.122867,0.948,0.45352,-0.124276,1.364,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.130893,0.049076,0.98
14:19.4,155447,0,0.138926,-0.098637,0.949,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.211782,0.073925,0.976
14:19.4,155480,0,0.093366,-0.071348,0.611,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.093403,0.036043,0.638
14:19.5,155513,0,0.138779,-0.104616,0.948,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.019967,0.041196,1.106
14:19.5,155548,0,0.132975,-0.110933,0.95,0.455181,-0.159872,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.198643,0.06121,0.973
14:19.5,155581,0,0.139072,-0.104837,0.95,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.136483,0.061339,0.975
14:19.6,155614,0,0.138925,-0.122996,0.949,0.457176,-0.160573,1.375,0.076731,0.319243,0.756,,,,0.268317,-0.177101,0.807,,,,0.149018,-0.272629,0.73,,,,,,,,,,,,,0.183207,-0.001396,1.106
14:19.6,155648,0,0.133395,-0.117399,0.953,0.457841,-0.160807,1.377,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.136342,0.042525,0.974
14:19.6,155680,0,0.086224,-0.064025,0.616,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.09311,0.040011,0.636
14:19.7,155713,0,0.133116,-0.092741,0.951,0.45618,-0.125005,1.372,0.077035,0.32051,0.759,,,,,,,,,,,,,,,,,,,,,,,,,0.135923,0.067318,0.971
14:19.7,155746,0,0.13878,-0.098533,0.948,0.45618,-0.125005,1.372,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.105631,0.074157,0.979
14:19.7,155781,0,0.132415,-0.110466,0.946,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.069649,0.026999,1.106
14:19.8,155813,0,0.139217,-0.129358,0.951,0.456178,-0.160223,1.372,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.084602,0.020081,1.116
14:19.8,155846,0,0.139218,-0.11105,0.951,0.45352,-0.124276,1.364,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.077093,0.027121,1.111
14:19.8,155880,0,0.139217,-0.129358,0.951,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,0.288315,-0.176663,0.805,,,,,,,,,,,,,,,,,,,0.176746,-0.008524,1.11
14:19.9,155916,0,0.139364,-0.117276,0.952,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.190306,0.019896,1.106
14:19.9,155947,0,0.145321,-0.117153,0.951,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,0.275779,-0.188748,0.77,,,,,,,,,,,,,,,,,,,0.190305,0.005701,1.106
14:19.9,155981,0,0.150946,-0.104617,0.948,0.455183,-0.124732,1.369,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.275227,0.026965,1.105
14:20.0,156013,0,0.138632,-0.11666,0.947,0.45618,-0.125005,1.372,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.198234,0.054853,0.971
14:20.0,156046,0,0.145015,-0.122997,0.949,0.457176,-0.160573,1.375,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.198642,0.054966,0.973
14:20.0,156079,0,0.126879,-0.104836,0.95,0.45618,-0.125005,1.372,0.076629,0.318821,0.755,,,,0.288315,-0.176663,0.805,,,,,,,,,,,,,,,,,,,0.189617,0.012752,1.102
14:20.1,156114,0,0.108246,-0.128813,0.947,0.456178,-0.160223,1.372,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.130091,0.030024,0.974
14:20.1,156148,0,0.138778,-0.122867,0.948,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.261043,0.005693,1.105
14:20.1,156179,0,0.150947,-0.098533,0.948,0.456178,-0.160223,1.372,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.204045,0.067176,0.969
14:20.2,156214,0,0.108932,-0.117398,0.953,0.45352,-0.124276,1.364,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.210069,0.062028,1.098
14:20.2,156248,0,0.101629,-0.134178,0.942,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.192596,0.042522,0.974
14:20.2,156280,0,0.108246,-0.122736,0.947,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.198234,0.042391,0.971
14:20.3,156314,0,0.126879,-0.117029,0.95,0.458838,-0.161157,1.38,0.076832,0.319665,0.757,,,,0.288315,-0.176663,0.805,,,,0.149222,-0.273003,0.731,,,,,,,,,,,,,0.260571,0.012761,1.103
14:20.3,156348,0,0.139364,-0.117276,0.952,0.457178,-0.125278,1.375,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.15426,0.062257,1.102
14:20.3,156381,0,0.105144,-0.107184,0.827,0.457841,-0.160807,1.377,0.076731,0.319243,0.756,,,,0.266654,-0.176004,0.802,,,,,,,,,,,,,,,,,,,0.150063,-0.001239,0.982
14:20.4,156413,0,0.104635,-0.106665,0.823,0.454518,-0.124549,1.367,0.076731,0.319243,0.756,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.155728,-0.00751,0.978
14:20.4,156449,0,0.139071,-0.11703,0.95,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.136762,0.048925,0.977
14:20.4,156481,0,0.12808,-0.130446,0.959,0.455183,-0.124732,1.369,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.123968,0.036312,0.975
14:20.5,156513,0,0.138925,-0.122996,0.949,0.457841,-0.160807,1.377,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.09316,0.055366,0.98
14:20.5,156549,0,0.139218,-0.123256,0.951,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,0.28939,-0.177322,0.808,,,,,,,,,,,,,,,,,,,0.254412,0.005703,1.107
14:20.5,156579,0,0.138779,-0.116783,0.948,0.454518,-0.124549,1.367,0.076934,0.320088,0.758,,,,0.268982,-0.17754,0.809,,,,,,,,,,,,,,,,,,,0.261044,0.026966,1.105
14:20.6,156613,0,0.145168,-0.104837,0.95,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.26128,0.019893,1.106
14:20.6,156647,0,0.132835,-0.129086,0.949,0.456178,-0.160223,1.372,0.077035,0.32051,0.759,,,,0.268317,-0.177101,0.807,,,,0.149222,-0.273003,0.731,,,,,,,,,,,,,0.253262,-0.008466,1.102
14:20.6,156681,0,0.088713,-0.078541,0.606,0.457841,-0.160807,1.377,0.076629,0.318821,0.755,,,,0.268982,-0.17754,0.809,,,,0.149222,-0.273003,0.731,,,,,,,,,,,,,0.180723,0.00885,0.765
14:20.7,156713,0,0.089115,-0.107053,0.826,0.455181,-0.159872,1.369,0.076934,0.320088,0.758,,,,0.268982,-0.17754,0.809,,,,,,,,,,,,,,,,,,,0.143908,-0.00124,0.983
14:20.7,156747,0,0.139217,-0.129358,0.951,0.454518,-0.124549,1.367,0.076934,0.320088,0.758,,,,0.28939,-0.177322,0.808,,,,,,,,,,,,,,,,,,,0.176746,-0.008524,1.11
14:20.7,156780,0,0.127011,-0.135461,0.951,-0.071387,0.25993,1.359,0.077035,0.32051,0.759,,,,0.268982,-0.17754,0.809,,,,,,,,,,,,,,,,,,,0.169623,-0.0014,1.11
14:20.8,156813,0,0.127546,-0.123774,0.955,0.454518,-0.124549,1.367,0.077441,0.322199,0.763,,,,,,,,,,,,,,,,,,,,,,,,,-0.008486,-0.001397,1.114
14:20.8,156846,0,0.127412,-0.129766,0.954,-0.106506,0.260505,1.362,0.077137,0.320932,0.76,,,,,,,,,,,,,,,,,,,,,,,,,0.124095,0.030086,0.976
14:20.8,156881,0,0.114444,-0.135033,0.948,0.455183,-0.124732,1.369,0.076934,0.320088,0.758,,,,,,,,,,,,,,,,,,,,,,,,,0.192991,0.036346,0.976
14:20.9,156914,0,0.132975,-0.129222,0.95,0.455181,-0.159872,1.369,0.077137,0.320932,0.76,,,,,,,,,,,,,,,,,,,,,,,,,0.253492,-0.008474,1.103
14:20.9,156946,0,0.114444,-0.135033,0.948,0.456178,-0.160223,1.372,0.076832,0.319665,0.757,,,,0.28939,-0.177322,0.808,,,,,,,,,,,,,,,,,,,0.161768,-0.015576,1.105
14:20.9,156981,0,0.138779,-0.116783,0.948,0.45618,-0.125005,1.372,0.077035,0.32051,0.759,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.183042,0.019878,1.105
14:21.0,157013,0,0.108704,-0.123254,0.951,0.457176,-0.160573,1.375,0.076629,0.318821,0.755,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.162354,0.005718,1.109
14:21.0,157046,0,0.127813,-0.124033,0.957,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,0.288674,-0.176883,0.806,,,,,,,,,,,,,,,,,,,0.17611,-0.001396,1.106
14:21.0,157080,0,0.115289,-0.123773,0.955,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.192596,0.042522,0.974
14:21.1,157114,0,0.144557,-0.116537,0.946,0.456178,-0.160223,1.372,0.076934,0.320088,0.758,,,,0.267984,-0.176882,0.806,,,,,,,,,,,,,,,,,,,0.267407,0.01982,1.102
14:21.1,157147,0,0.132834,-0.141266,0.949,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.093159,0.030211,0.98
14:21.1,157181,0,0.138778,-0.12895,0.948,0.454518,-0.124549,1.367,0.076629,0.318821,0.755,,,,0.267319,-0.176443,0.804,,,,,,,,,,,,,,,,,,,0.253723,0.005688,1.104
14:21.2,157215,0,0.139218,-0.117153,0.951,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.129824,0.042437,0.972
14:21.2,157246,0,0.127412,-0.129766,0.954,0.456178,-0.160223,1.372,0.076731,0.319243,0.756,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.253952,-0.008489,1.105
14:21.2,157282,0,0.127011,-0.141564,0.951,0.457176,-0.160573,1.375,0.076832,0.319665,0.757,,,,,,,,,,,,,,,,,,,,,,,,,0.076883,-0.008504,1.108
14:21.3,157314,0,0.104253,-0.122063,0.82,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.096937,0.031583,0.848
14:21.3,157347,0,0.133534,-0.129766,0.954,0.456178,-0.160223,1.372,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.176587,-0.0014,1.109
14:21.3,157381,0,0.132695,-0.12895,0.948,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.192596,0.042522,0.974
14:21.4,157414,0,0.126611,-0.12895,0.948,0.456178,-0.160223,1.372,0.098425,0.326843,0.774,,,,0.257011,-0.189482,0.773,,,,0.149222,-0.273003,0.731,,,,,,,,,,,,,0.239119,-0.001394,1.102
14:21.4,157446,0,0.133115,-0.123255,0.951,0.457176,-0.160573,1.375,0.076223,0.317132,0.751,,,,,,,,,,,,,,,,,,,,,,,,,0.130626,0.042699,0.978
14:21.4,157482,0,0.11553,-0.130173,0.957,0.454516,-0.159639,1.367,0.076528,0.318399,0.754,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.255101,-0.008528,1.11
14:21.5,157514,0,0.127412,-0.129766,0.954,0.457176,-0.160573,1.375,0.097917,0.325154,0.77,,,,,,,,,,,,,,,,,,,,,,,,,0.0699,0.005727,1.11
14:21.5,157546,0,0.133115,-0.117153,0.951,0.457176,-0.160573,1.375,0.09779,0.324732,0.769,,,,,,,,,,,,,,,,,,,,,,,,,0.19803,0.048572,0.97
14:21.5,157578,0,0.090204,-0.135174,0.949,0.455183,-0.124732,1.369,0.076426,0.317976,0.753,,,,,,,,,,,,,,,,,,,,,,,,,0.161914,-0.022688,1.106
14:21.6,157613,0,0.132415,-0.116537,0.946,0.457176,-0.160573,1.375,0.076325,0.317554,0.752,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.246862,0.019875,1.105
14:21.6,157647,0,0.114685,-0.141414,0.95,0.456178,-0.160223,1.372,0.076426,0.317976,0.753,,,,0.267984,-0.176882,0.806,,,,,,,,,,,,,,,,,,,0.16206,-0.022708,1.107
14:21.6,157680,0,0.120908,-0.141563,0.951,0.457176,-0.160573,1.375,0.076223,0.317132,0.751,,,,,,,,,,,,,,,,,,,,,,,,,0.246637,-0.015566,1.104
14:21.7,157714,0,0.126878,-0.129222,0.95,0.456178,-0.160223,1.372,0.076528,0.318399,0.754,,,,,,,,,,,,,,,,,,,,,,,,,0.062663,0.005717,1.108
14:21.7,157747,0,0.102277,-0.128949,0.948,0.454518,-0.124549,1.367,0.076223,0.317132,0.751,,,,,,,,,,,,,,,,,,,,,,,,,-0.001337,0.005751,1.114
14:21.7,157781,0,0.127145,-0.135603,0.952,0.455183,-0.124732,1.369,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.124095,0.023823,0.976
14:21.8,157814,0,0.126343,-0.14689,0.946,0.457176,-0.160573,1.375,0.09779,0.324732,0.769,,,,0.267652,-0.176662,0.805,,,,0.149427,-0.273376,0.732,,,,,,,,,,,,,0.239552,-0.015565,1.104
14:21.8,157847,0,0.115618,-0.112355,0.826,0.456178,-0.160223,1.372,0.076528,0.318399,0.754,,,,0.289032,-0.177102,0.807,,,,,,,,,,,,,,,,,,,0.156524,-0.001241,0.983
14:21.8,157881,0,0.126611,-0.12895,0.948,0.457841,-0.160807,1.377,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.033948,0.08325,1.099
14:21.9,157914,0,0.133114,-0.135461,0.951,0.456178,-0.160223,1.372,0.076629,0.318821,0.755,,,,,,,,,,,,,,,,,,,,,,,,,0.192002,0.029929,0.971
14:21.9,157946,0,0.126878,-0.129222,0.95,0.456178,-0.160223,1.372,0.076731,0.319243,0.756,,,,,,,,,,,,,,,,,,,,,,,,,0.186154,0.036235,0.973
14:21.9,157980,0,0.132975,-0.129222,0.95,0.456178,-0.160223,1.372,0.076528,0.318399,0.754,,,,0.268317,-0.177101,0.807,,,,,,,,,,,,,,,,,,,0.169012,-0.008493,1.106
14:22.0,158013,0,0.102169,-0.122736,0.947,0.457176,-0.160573,1.375,0.076731,0.319243,0.756,,,,0.257344,-0.189727,0.774,,,,,,,,,,,,,,,,,,,0.254642,0.012819,1.108
14:22.0,158045,0,0.144863,-0.098533,0.948,0.455183,-0.124732,1.369,0.076731,0.319243,0.756,,,,0.268649,-0.177321,0.808,,,,,,,,,,,,,,,,,,,0.267651,0.033995,1.103
